pubid,ctuition17,state17,female,black,hisp,yr97,yr98,yr99,yr00,yr01,mhighgrad,msomcol,fhighgrad,fsomcol,parincome,afqt,dayssmklm17,pct_insclnxtyr
3735,1.827899218,83,1,0,0,0,1,0,0,0,1,0,1,0,65.14221954,39.51599884,0,
6199,1.827899218,83,1,0,0,0,1,0,0,0,1,0,0,0,58.1327095,66.97499847,0,
1513,1.356900454,83,1,0,0,0,0,0,0,1,1,0,0,1,56.97005463,29.25799942,0,
3558,1.356900454,83,0,0,0,0,0,0,0,1,1,0,0,1,83.96946716,98.5530014,0,
1501,1.846036553,83,1,0,0,1,0,0,0,0,0,1,0,1,101.7619629,90.14900208,1,100
3549,1.395511389,83,0,0,0,0,0,0,1,0,0,1,0,1,38.7551384,72.54199982,0,100
3738,1.356900454,83,0,0,1,0,0,0,0,1,1,0,0,1,45.21432877,85.71299744,0,
3560,1.356900454,83,0,0,0,0,0,0,0,1,0,1,0,1,41.3388176,67.1760025,0,
3599,1.395511389,83,0,1,0,0,0,0,1,0,0,1,0,1,133.0593109,84.52600098,0,90
3554,1.356900454,83,0,0,0,0,0,0,0,1,0,1,0,1,76.41222382,62.40100098,30,
3632,1.442419291,83,0,1,0,0,0,1,0,0,0,1,0,1,167.9389343,64.19000244,0,
6209,1.846036553,83,1,1,0,1,0,0,0,0,1,0,1,0,9.738619804,2.546999931,30,100
3779,1.356900454,83,1,0,0,0,0,0,0,1,0,0,1,0,11.44822121,25.70000076,0,
3620,1.395511389,83,0,0,1,0,0,0,1,0,1,0,1,0,68.46741486,22.79899979,0,50
5672,1.442419291,83,1,0,0,0,0,1,0,0,0,1,0,1,76.32147217,47.08499908,0,
3578,1.356900454,83,1,0,0,0,0,0,0,1,0,1,0,1,57.99189758,98.48600006,0,
6191,1.827899218,83,0,0,0,0,1,0,0,0,1,0,1,0,71.69700623,88.86499786,0,
6231,1.827899218,83,0,1,0,0,1,0,0,0,1,0,1,0,21.62441635,37.20199966,0,
2138,1.883499861,85,0,0,0,1,0,0,0,0,1,0,1,0,74.28068542,60.20199966,29,90
2122,1.975870728,85,0,0,0,0,0,0,1,0,0,1,0,1,40.046978,43.90200043,0,0
